model,unit_id,on_1mmodal,off_1mmodal,delta_1mmodal,on_Hnorm,off_Hnorm
google/gemma-4-31b-it,GB-038,0.09999999999999998,0.30000000000000004,-0.20000000000000007,0.14118174150460763,0.2652949955741215
google/gemma-4-31b-it,GB-039,0.6,0.5,0.09999999999999998,0.47290325063701755,0.3010299956639812
google/gemma-4-31b-it,GB-050,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-053,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-056,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-061,0.19999999999999996,0.0,0.19999999999999996,0.2173220112736489,-0.0
google/gemma-4-31b-it,GB-066,0.5,0.0,0.5,0.4096910013008056,-0.0
google/gemma-4-31b-it,GB-071,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-074,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-077,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,GB-090,0.19999999999999996,0.0,0.19999999999999996,0.27752801040644515,-0.0
google/gemma-4-31b-it,GB-104,0.19999999999999996,0.0,0.19999999999999996,0.2173220112736489,-0.0
google/gemma-4-31b-it,GB-105,0.5,0.0,0.5,0.4096910013008056,-0.0
google/gemma-4-31b-it,GB-107,0.5,0.0,0.5,0.4096910013008056,-0.0
google/gemma-4-31b-it,NZ-001,0.09999999999999998,0.19999999999999996,-0.09999999999999998,0.14118174150460763,0.2173220112736489
google/gemma-4-31b-it,NZ-006,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-007,0.19999999999999996,0.09999999999999998,0.09999999999999998,0.2173220112736489,0.14118174150460763
google/gemma-4-31b-it,NZ-008,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-009,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-014,0.09999999999999998,0.0,0.09999999999999998,0.14118174150460763,-0.0
google/gemma-4-31b-it,NZ-022,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
google/gemma-4-31b-it,NZ-023,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-034,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-044,0.09999999999999998,0.0,0.09999999999999998,0.14118174150460763,-0.0
google/gemma-4-31b-it,NZ-059,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-063,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-064,0.0,0.0,0.0,-0.0,-0.0
google/gemma-4-31b-it,NZ-070,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,GB-009,0.19999999999999996,0.30000000000000004,-0.10000000000000009,0.27752801040644515,0.4084313719900203
qwen/qwen3.6-35b-a3b,GB-010,0.30000000000000004,0.5,-0.19999999999999996,0.348225372857224,0.4096910013008056
qwen/qwen3.6-35b-a3b,GB-016,0.5,0.7,-0.19999999999999996,0.6505149978319906,0.7966576244513052
qwen/qwen3.6-35b-a3b,GB-033,0.19999999999999996,0.7,-0.5,0.2173220112736489,0.7966576244513052
qwen/qwen3.6-35b-a3b,GB-034,0.19999999999999996,0.09999999999999998,0.09999999999999998,0.2173220112736489,0.14118174150460763
qwen/qwen3.6-35b-a3b,GB-037,0.5,0.30000000000000004,0.19999999999999996,0.4096910013008056,0.2652949955741215
qwen/qwen3.6-35b-a3b,GB-038,0.30000000000000004,0.19999999999999996,0.10000000000000009,0.348225372857224,0.2173220112736489
qwen/qwen3.6-35b-a3b,GB-039,0.4,0.6,-0.19999999999999996,0.3899728733539151,0.5785580060704263
qwen/qwen3.6-35b-a3b,GB-050,0.6,0.4,0.19999999999999996,0.5183520069376301,0.4729032506370176
qwen/qwen3.6-35b-a3b,GB-053,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,GB-056,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,GB-061,0.6,0.7,-0.09999999999999998,0.45814600780483383,0.7966576244513052
qwen/qwen3.6-35b-a3b,GB-066,0.4,0.09999999999999998,0.30000000000000004,0.4729032506370176,0.14118174150460763
qwen/qwen3.6-35b-a3b,GB-071,0.7,0.7,0.0,0.6762456261857126,0.5705908707523039
qwen/qwen3.6-35b-a3b,GB-074,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,GB-077,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,GB-090,0.4,0.19999999999999996,0.20000000000000007,0.3899728733539151,0.27752801040644515
qwen/qwen3.6-35b-a3b,GB-104,0.09999999999999998,0.0,0.09999999999999998,0.14118174150460763,-0.0
qwen/qwen3.6-35b-a3b,GB-105,0.30000000000000004,0.19999999999999996,0.10000000000000009,0.348225372857224,0.27752801040644515
qwen/qwen3.6-35b-a3b,GB-107,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-001,0.09999999999999998,0.19999999999999996,-0.09999999999999998,0.14118174150460763,0.2173220112736489
qwen/qwen3.6-35b-a3b,NZ-006,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-007,0.6,0.09999999999999998,0.5,0.47290325063701755,0.14118174150460763
qwen/qwen3.6-35b-a3b,NZ-008,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-009,0.0,0.19999999999999996,-0.19999999999999996,-0.0,0.2173220112736489
qwen/qwen3.6-35b-a3b,NZ-014,0.7,0.5,0.19999999999999996,0.5933152489026101,0.5903089986991944
qwen/qwen3.6-35b-a3b,NZ-022,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-023,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-034,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
qwen/qwen3.6-35b-a3b,NZ-044,0.30000000000000004,0.19999999999999996,0.10000000000000009,0.348225372857224,0.2173220112736489
qwen/qwen3.6-35b-a3b,NZ-059,0.5,0.30000000000000004,0.19999999999999996,0.4471726222832957,0.2652949955741215
qwen/qwen3.6-35b-a3b,NZ-063,0.0,0.30000000000000004,-0.30000000000000004,-0.0,0.2652949955741215
qwen/qwen3.6-35b-a3b,NZ-064,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-35b-a3b,NZ-070,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-009,0.19999999999999996,0.4,-0.20000000000000007,0.2173220112736489,0.3899728733539151
qwen/qwen3.6-plus,GB-010,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
qwen/qwen3.6-plus,GB-016,0.5,0.7,-0.19999999999999996,0.5903089986991944,0.6762456261857126
qwen/qwen3.6-plus,GB-033,0.5,0.7,-0.19999999999999996,0.5073786214160919,0.7966576244513052
qwen/qwen3.6-plus,GB-034,0.4,0.4,0.0,0.4126972515042214,0.3899728733539151
qwen/qwen3.6-plus,GB-037,0.4,0.5,-0.09999999999999998,0.3899728733539151,0.5301029995663982
qwen/qwen3.6-plus,GB-038,0.30000000000000004,0.30000000000000004,0.0,0.348225372857224,0.348225372857224
qwen/qwen3.6-plus,GB-039,0.19999999999999996,0.09999999999999998,0.09999999999999998,0.27752801040644515,0.14118174150460763
qwen/qwen3.6-plus,GB-050,0.5,0.4,0.09999999999999998,0.5903089986991944,0.5331092497698139
qwen/qwen3.6-plus,GB-053,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-056,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-061,0.30000000000000004,0.7,-0.3999999999999999,0.348225372857224,0.7364516253185088
qwen/qwen3.6-plus,GB-066,0.4,0.0,0.4,0.29228525323862886,-0.0
qwen/qwen3.6-plus,GB-071,0.6,0.5,0.09999999999999998,0.6387640052032226,0.5301029995663982
qwen/qwen3.6-plus,GB-074,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-077,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-090,0.5,0.5,0.0,0.3010299956639812,0.5073786214160919
qwen/qwen3.6-plus,GB-104,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,GB-105,0.30000000000000004,0.5,-0.19999999999999996,0.2652949955741215,0.3010299956639812
qwen/qwen3.6-plus,GB-107,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-001,0.0,0.09999999999999998,-0.09999999999999998,-0.0,0.14118174150460763
qwen/qwen3.6-plus,NZ-006,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-007,0.09999999999999998,0.30000000000000004,-0.20000000000000007,0.14118174150460763,0.2652949955741215
qwen/qwen3.6-plus,NZ-008,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-009,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-014,0.09999999999999998,0.09999999999999998,0.0,0.14118174150460763,0.14118174150460763
qwen/qwen3.6-plus,NZ-022,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-023,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-034,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-044,0.09999999999999998,0.4,-0.30000000000000004,0.14118174150460763,0.3899728733539151
qwen/qwen3.6-plus,NZ-059,0.6,0.6,0.0,0.5183520069376301,0.55583362792012
qwen/qwen3.6-plus,NZ-063,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-064,0.0,0.0,0.0,-0.0,-0.0
qwen/qwen3.6-plus,NZ-070,0.0,0.0,0.0,-0.0,-0.0
