coder_id,manifesto,unit_id,sequence,code
jonathan.slapin,GB,GB-093,93,703
jonathan.slapin,GB,GB-094,94,703
jonathan.slapin,GB,GB-095,95,703
jonathan.slapin,GB,GB-096,96,703
jonathan.slapin,GB,GB-097,97,703
jonathan.slapin,GB,GB-098,98,703
jonathan.slapin,GB,GB-099,99,506
jonathan.slapin,GB,GB-100,100,506
jonathan.slapin,GB,GB-101,101,506
jonathan.slapin,GB,GB-102,102,506
jonathan.slapin,GB,GB-103,103,506
jonathan.slapin,GB,GB-104,104,506
jonathan.slapin,GB,GB-105,105,506
jonathan.slapin,GB,GB-106,106,506
jonathan.slapin,GB,GB-107,107,506
proksch,GB,GB-001,1,000
proksch,GB,GB-002,2,000
proksch,GB,GB-003,3,305
proksch,GB,GB-004,4,305
proksch,GB,GB-005,5,202
proksch,GB,GB-006,6,305
proksch,GB,GB-007,7,305
proksch,GB,GB-008,8,410
proksch,GB,GB-009,9,701
proksch,GB,GB-010,10,403
proksch,GB,GB-011,11,401
proksch,GB,GB-012,12,305
proksch,GB,GB-013,13,606
proksch,GB,GB-014,14,606
proksch,GB,GB-015,15,606
proksch,GB,GB-016,16,305
proksch,GB,GB-017,17,305
proksch,GB,GB-018,18,305
proksch,GB,GB-019,19,305
proksch,GB,GB-020,20,606
proksch,GB,GB-021,21,405
proksch,GB,GB-022,22,303
proksch,GB,GB-023,23,701
proksch,GB,GB-024,24,404
proksch,GB,GB-025,25,701
proksch,GB,GB-026,26,701
proksch,GB,GB-027,27,701
proksch,GB,GB-028,28,706
proksch,GB,GB-029,29,501
proksch,GB,GB-030,30,411
proksch,GB,GB-031,31,606
proksch,GB,GB-032,32,606
proksch,GB,GB-033,33,701
proksch,GB,GB-034,34,305
proksch,GB,GB-035,35,305
proksch,GB,GB-036,36,414
proksch,GB,GB-037,37,414
proksch,GB,GB-038,38,409
proksch,GB,GB-039,39,706
proksch,GB,GB-040,40,305
proksch,GB,GB-041,41,305
proksch,GB,GB-042,42,410
proksch,GB,GB-043,43,409
proksch,GB,GB-044,44,409
proksch,GB,GB-045,45,404
proksch,GB,GB-046,46,404
proksch,GB,GB-047,47,503
proksch,GB,GB-048,48,305
proksch,GB,GB-049,49,405
proksch,GB,GB-050,50,503
proksch,GB,GB-051,51,606
proksch,GB,GB-052,52,606
proksch,GB,GB-053,53,606
proksch,GB,GB-054,54,606
proksch,GB,GB-055,55,606
proksch,GB,GB-056,56,411
proksch,GB,GB-057,57,411
