unit_id,manifesto,sequence,master_code,master_rile,full_class_n,full_class_cat_distinct,full_class_cat_modal_share,full_class_cat_1mmodal,full_class_cat_Hnorm,full_class_dom_1mmodal,full_class_rile_1mmodal,full_class_rile_distinct,full_class_rile_modal,full_exclude_n,full_exclude_cat_distinct,full_exclude_cat_modal_share,full_exclude_cat_1mmodal,full_exclude_cat_Hnorm,full_exclude_dom_1mmodal,full_exclude_rile_1mmodal,full_exclude_rile_distinct,full_exclude_rile_modal,retained_class_n,retained_class_cat_distinct,retained_class_cat_modal_share,retained_class_cat_1mmodal,retained_class_cat_Hnorm,retained_class_dom_1mmodal,retained_class_rile_1mmodal,retained_class_rile_distinct,retained_class_rile_modal,retained_exclude_n,retained_exclude_cat_distinct,retained_exclude_cat_modal_share,retained_exclude_cat_1mmodal,retained_exclude_cat_Hnorm,retained_exclude_dom_1mmodal,retained_exclude_rile_1mmodal,retained_exclude_rile_distinct,retained_exclude_rile_modal
GB-038,GB,38,504,left,32,9,0.25,0.75,0.5686278124459132,0.1875,0.46875,3,none,32,9,0.25,0.75,0.5686278124459132,0.1875,0.46875,3,none,17,7,0.29411764705882354,0.7058823529411764,0.6205825845784474,0.11764705882352944,0.4117647058823529,3,none,17,7,0.29411764705882354,0.7058823529411764,0.6205825845784474,0.11764705882352944,0.4117647058823529,3,none
GB-039,GB,39,503,none,32,8,0.25,0.75,0.5532253534039748,0.5625,0.40625,3,none,32,8,0.25,0.75,0.5532253534039748,0.5625,0.40625,3,none,17,8,0.29411764705882354,0.7058823529411764,0.67814741801803,0.5294117647058824,0.4117647058823529,3,none,17,8,0.29411764705882354,0.7058823529411764,0.67814741801803,0.5294117647058824,0.4117647058823529,3,none
GB-040,GB,40,404,left,32,12,0.3125,0.6875,0.5876614471810182,0.65625,0.5,3,right,24,11,0.4166666666666667,0.5833333333333333,0.6185522378460466,0.5416666666666667,0.33333333333333337,3,right,17,7,0.35294117647058826,0.6470588235294117,0.5809364245267405,0.6470588235294117,0.5294117647058824,3,none,12,6,0.5,0.5,0.5929809818837098,0.5,0.41666666666666663,3,right
GB-041,GB,41,404,left,32,8,0.25,0.75,0.5180036532577266,0.625,0.5,3,none,24,7,0.3333333333333333,0.6666666666666667,0.5172678123466228,0.5,0.625,3,right,17,6,0.29411764705882354,0.7058823529411764,0.5809364245267404,0.5294117647058824,0.5294117647058824,3,none,14,5,0.35714285714285715,0.6428571428571428,0.5429048611103745,0.4285714285714286,0.6428571428571428,3,right
GB-042,GB,42,410,none,32,8,0.34375,0.65625,0.5174062046016223,0.0,0.40625,3,none,32,8,0.34375,0.65625,0.5174062046016223,0.0,0.40625,3,none,17,6,0.4117647058823529,0.5882352941176471,0.5213322208645437,0.0,0.47058823529411764,2,none,17,6,0.4117647058823529,0.5882352941176471,0.5213322208645437,0.0,0.47058823529411764,2,none
GB-043,GB,43,504,left,32,10,0.34375,0.65625,0.5545435702882257,0.09375,0.375,3,none,32,10,0.34375,0.65625,0.5545435702882257,0.09375,0.375,3,none,17,6,0.4117647058823529,0.5882352941176471,0.5515518223726452,0.0,0.2941176470588235,2,none,17,6,0.4117647058823529,0.5882352941176471,0.5515518223726452,0.0,0.2941176470588235,2,none
GB-044,GB,44,701,left,32,9,0.3125,0.6875,0.5579434002924966,0.0625,0.5,3,none,32,9,0.3125,0.6875,0.5579434002924966,0.0625,0.5,3,none,17,8,0.29411764705882354,0.7058823529411764,0.67814741801803,0.05882352941176472,0.4117647058823529,3,none,17,8,0.29411764705882354,0.7058823529411764,0.67814741801803,0.05882352941176472,0.4117647058823529,3,none
GB-045,GB,45,606,right,32,8,0.40625,0.59375,0.5079068323817195,0.21875,0.3125,3,right,32,8,0.40625,0.59375,0.5079068323817195,0.21875,0.3125,3,right,17,6,0.4117647058823529,0.5882352941176471,0.5624155657045607,0.17647058823529416,0.2941176470588235,3,right,17,6,0.4117647058823529,0.5882352941176471,0.5624155657045607,0.17647058823529416,0.2941176470588235,3,right
GB-046,GB,46,606,right,32,7,0.34375,0.65625,0.462325523399704,0.625,0.5,3,none,22,6,0.5,0.5,0.461726803045822,0.4545454545454546,0.40909090909090906,3,right,17,5,0.4117647058823529,0.5882352941176471,0.5048507322649782,0.5882352941176471,0.5294117647058824,3,none,14,4,0.5,0.5,0.44371795677774417,0.5,0.5,3,right
GB-047,GB,47,606,right,32,6,0.65625,0.34375,0.3259480852950577,0.28125,0.34375,2,right,30,5,0.7,0.30000000000000004,0.28095464741275594,0.23333333333333328,0.30000000000000004,2,right,17,4,0.7058823529411765,0.2941176470588235,0.3124681155050132,0.2941176470588235,0.2941176470588235,2,right,16,3,0.75,0.25,0.253524413893479,0.25,0.25,2,right
GB-048,GB,48,606,right,32,9,0.25,0.75,0.5405639062229566,0.5625,0.4375,2,right,28,8,0.2857142857142857,0.7142857142857143,0.5133218038784385,0.5,0.3571428571428571,2,right,17,8,0.29411764705882354,0.7058823529411764,0.6602287446301545,0.5882352941176471,0.3529411764705882,2,right,16,7,0.3125,0.6875,0.6310993675869248,0.5625,0.3125,2,right
GB-049,GB,49,202,left,32,8,0.3125,0.6875,0.49254094125055803,0.625,0.46875,3,none,30,7,0.3333333333333333,0.6666666666666667,0.4620255750095192,0.6,0.5,3,none,17,5,0.4117647058823529,0.5882352941176471,0.4652045722132713,0.5882352941176471,0.47058823529411764,3,none,17,5,0.4117647058823529,0.5882352941176471,0.4652045722132713,0.5882352941176471,0.47058823529411764,3,none
GB-050,GB,50,606,right,32,13,0.21875,0.78125,0.6451818754177064,0.59375,0.1875,3,none,27,12,0.25925925925925924,0.7407407407407407,0.6482273789966264,0.5185185185185186,0.2222222222222222,3,none,17,8,0.29411764705882354,0.7058823529411764,0.6493650012982387,0.4117647058823529,0.11764705882352944,3,none,16,7,0.3125,0.6875,0.6193042503656206,0.375,0.125,3,none
GB-051,GB,51,606,right,32,10,0.46875,0.53125,0.5195748659961363,0.4375,0.4375,2,right,31,9,0.4838709677419355,0.5161290322580645,0.4994922608012242,0.4193548387096774,0.4193548387096774,2,right,17,5,0.5882352941176471,0.4117647058823529,0.43558715613947385,0.4117647058823529,0.2941176470588235,2,right,17,5,0.5882352941176471,0.4117647058823529,0.43558715613947385,0.4117647058823529,0.2941176470588235,2,right
